name	type	units	ch_description	sampling_frequency	signal_electrode	reference_electrode	group	target_muscle	interelectrode_distance	grid_name	low_cutoff	high_cutoff
Ch048	EMG	mV	ElectroMyoGraphy	10240.0	E048	R1	grid1	Tibialis Anterior	4	GR04MM1305	10	500
Ch049	EMG	mV	ElectroMyoGraphy	10240.0	E049	R1	grid1	Tibialis Anterior	4	GR04MM1305	10	500
Ch050	EMG	mV	ElectroMyoGraphy	10240.0	E050	R1	grid1	Tibialis Anterior	4	GR04MM1305	10	500
Ch051	EMG	mV	ElectroMyoGraphy	10240.0	E051	R1	grid1	Tibialis Anterior	4	GR04MM1305	10	500
Ch052	EMG	mV	ElectroMyoGraphy	10240.0	E052	R1	grid1	Tibialis Anterior	4	GR04MM1305	10	500
Ch053	EMG	mV	ElectroMyoGraphy	10240.0	E053	R1	grid1	Tibialis Anterior	4	GR04MM1305	10	500
Ch054	EMG	mV	ElectroMyoGraphy	10240.0	E054	R1	grid1	Tibialis Anterior	4	GR04MM1305	10	500
Ch055	EMG	mV	ElectroMyoGraphy	10240.0	E055	R1	grid1	Tibialis Anterior	4	GR04MM1305	10	500
Ch056	EMG	mV	ElectroMyoGraphy	10240.0	E056	R1	grid1	Tibialis Anterior	4	GR04MM1305	10	500
Ch057	EMG	mV	ElectroMyoGraphy	10240.0	E057	R1	grid1	Tibialis Anterior	4	GR04MM1305	10	500
Ch058	EMG	mV	ElectroMyoGraphy	10240.0	E058	R1	grid1	Tibialis Anterior	4	GR04MM1305	10	500
Ch059	EMG	mV	ElectroMyoGraphy	10240.0	E059	R1	grid1	Tibialis Anterior	4	GR04MM1305	10	500
Ch060	EMG	mV	ElectroMyoGraphy	10240.0	E060	R1	grid1	Tibialis Anterior	4	GR04MM1305	10	500
Ch061	EMG	mV	ElectroMyoGraphy	10240.0	E061	R1	grid1	Tibialis Anterior	4	GR04MM1305	10	500
Ch062	EMG	mV	ElectroMyoGraphy	10240.0	E062	R1	grid1	Tibialis Anterior	4	GR04MM1305	10	500
Ch063	EMG	mV	ElectroMyoGraphy	10240.0	E063	R1	grid1	Tibialis Anterior	4	GR04MM1305	10	500
Ch064	EMG	mV	ElectroMyoGraphy	10240.0	E064	R1	grid1	Tibialis Anterior	4	GR04MM1305	10	500
Ch065	EMG	mV	ElectroMyoGraphy	10240.0	E065	R1	grid2	Tibialis Anterior	4	GR04MM1305	10	500
Ch066	EMG	mV	ElectroMyoGraphy	10240.0	E066	R1	grid2	Tibialis Anterior	4	GR04MM1305	10	500
Ch067	EMG	mV	ElectroMyoGraphy	10240.0	E067	R1	grid2	Tibialis Anterior	4	GR04MM1305	10	500
Ch068	EMG	mV	ElectroMyoGraphy	10240.0	E068	R1	grid2	Tibialis Anterior	4	GR04MM1305	10	500
Ch069	EMG	mV	ElectroMyoGraphy	10240.0	E069	R1	grid2	Tibialis Anterior	4	GR04MM1305	10	500
Ch070	EMG	mV	ElectroMyoGraphy	10240.0	E070	R1	grid2	Tibialis Anterior	4	GR04MM1305	10	500
Ch071	EMG	mV	ElectroMyoGraphy	10240.0	E071	R1	grid2	Tibialis Anterior	4	GR04MM1305	10	500
Ch072	EMG	mV	ElectroMyoGraphy	10240.0	E072	R1	grid2	Tibialis Anterior	4	GR04MM1305	10	500
Ch073	EMG	mV	ElectroMyoGraphy	10240.0	E073	R1	grid2	Tibialis Anterior	4	GR04MM1305	10	500
Ch074	EMG	mV	ElectroMyoGraphy	10240.0	E074	R1	grid2	Tibialis Anterior	4	GR04MM1305	10	500
Ch075	EMG	mV	ElectroMyoGraphy	10240.0	E075	R1	grid2	Tibialis Anterior	4	GR04MM1305	10	500
Ch076	EMG	mV	ElectroMyoGraphy	10240.0	E076	R1	grid2	Tibialis Anterior	4	GR04MM1305	10	500
Ch077	EMG	mV	ElectroMyoGraphy	10240.0	E077	R1	grid2	Tibialis Anterior	4	GR04MM1305	10	500
Ch078	EMG	mV	ElectroMyoGraphy	10240.0	E078	R1	grid2	Tibialis Anterior	4	GR04MM1305	10	500
Ch079	EMG	mV	ElectroMyoGraphy	10240.0	E079	R1	grid2	Tibialis Anterior	4	GR04MM1305	10	500
Ch080	EMG	mV	ElectroMyoGraphy	10240.0	E080	R1	grid2	Tibialis Anterior	4	GR04MM1305	10	500
Ch081	EMG	mV	ElectroMyoGraphy	10240.0	E081	R1	grid2	Tibialis Anterior	4	GR04MM1305	10	500
Ch082	EMG	mV	ElectroMyoGraphy	10240.0	E082	R1	grid2	Tibialis Anterior	4	GR04MM1305	10	500
Ch083	EMG	mV	ElectroMyoGraphy	10240.0	E083	R1	grid2	Tibialis Anterior	4	GR04MM1305	10	500
Ch084	EMG	mV	ElectroMyoGraphy	10240.0	E084	R1	grid2	Tibialis Anterior	4	GR04MM1305	10	500
Ch085	EMG	mV	ElectroMyoGraphy	10240.0	E085	R1	grid2	Tibialis Anterior	4	GR04MM1305	10	500
Ch086	EMG	mV	ElectroMyoGraphy	10240.0	E086	R1	grid2	Tibialis Anterior	4	GR04MM1305	10	500
Ch087	EMG	mV	ElectroMyoGraphy	10240.0	E087	R1	grid2	Tibialis Anterior	4	GR04MM1305	10	500
Ch088	EMG	mV	ElectroMyoGraphy	10240.0	E088	R1	grid2	Tibialis Anterior	4	GR04MM1305	10	500
Ch089	EMG	mV	ElectroMyoGraphy	10240.0	E089	R1	grid2	Tibialis Anterior	4	GR04MM1305	10	500
Ch090	EMG	mV	ElectroMyoGraphy	10240.0	E090	R1	grid2	Tibialis Anterior	4	GR04MM1305	10	500
Ch091	EMG	mV	ElectroMyoGraphy	10240.0	E091	R1	grid2	Tibialis Anterior	4	GR04MM1305	10	500
Ch092	EMG	mV	ElectroMyoGraphy	10240.0	E092	R1	grid2	Tibialis Anterior	4	GR04MM1305	10	500
Ch093	EMG	mV	ElectroMyoGraphy	10240.0	E093	R1	grid2	Tibialis Anterior	4	GR04MM1305	10	500
Ch094	EMG	mV	ElectroMyoGraphy	10240.0	E094	R1	grid2	Tibialis Anterior	4	GR04MM1305	10	500
Ch095	EMG	mV	ElectroMyoGraphy	10240.0	E095	R1	grid2	Tibialis Anterior	4	GR04MM1305	10	500
Ch096	EMG	mV	ElectroMyoGraphy	10240.0	E096	R1	grid2	Tibialis Anterior	4	GR04MM1305	10	500
Ch097	EMG	mV	ElectroMyoGraphy	10240.0	E097	R1	grid2	Tibialis Anterior	4	GR04MM1305	10	500
Ch098	EMG	mV	ElectroMyoGraphy	10240.0	E098	R1	grid2	Tibialis Anterior	4	GR04MM1305	10	500
Ch099	EMG	mV	ElectroMyoGraphy	10240.0	E099	R1	grid2	Tibialis Anterior	4	GR04MM1305	10	500
Ch100	EMG	mV	ElectroMyoGraphy	10240.0	E100	R1	grid2	Tibialis Anterior	4	GR04MM1305	10	500
Ch101	EMG	mV	ElectroMyoGraphy	10240.0	E101	R1	grid2	Tibialis Anterior	4	GR04MM1305	10	500
Ch102	EMG	mV	ElectroMyoGraphy	10240.0	E102	R1	grid2	Tibialis Anterior	4	GR04MM1305	10	500
Ch103	EMG	mV	ElectroMyoGraphy	10240.0	E103	R1	grid2	Tibialis Anterior	4	GR04MM1305	10	500
Ch104	EMG	mV	ElectroMyoGraphy	10240.0	E104	R1	grid2	Tibialis Anterior	4	GR04MM1305	10	500
Ch105	EMG	mV	ElectroMyoGraphy	10240.0	E105	R1	grid2	Tibialis Anterior	4	GR04MM1305	10	500
Ch106	EMG	mV	ElectroMyoGraphy	10240.0	E106	R1	grid2	Tibialis Anterior	4	GR04MM1305	10	500
Ch107	EMG	mV	ElectroMyoGraphy	10240.0	E107	R1	grid2	Tibialis Anterior	4	GR04MM1305	10	500
Ch108	EMG	mV	ElectroMyoGraphy	10240.0	E108	R1	grid2	Tibialis Anterior	4	GR04MM1305	10	500
Ch109	EMG	mV	ElectroMyoGraphy	10240.0	E109	R1	grid2	Tibialis Anterior	4	GR04MM1305	10	500
Ch110	EMG	mV	ElectroMyoGraphy	10240.0	E110	R1	grid2	Tibialis Anterior	4	GR04MM1305	10	500
Ch111	EMG	mV	ElectroMyoGraphy	10240.0	E111	R1	grid2	Tibialis Anterior	4	GR04MM1305	10	500
Ch112	EMG	mV	ElectroMyoGraphy	10240.0	E112	R1	grid2	Tibialis Anterior	4	GR04MM1305	10	500
Ch113	EMG	mV	ElectroMyoGraphy	10240.0	E113	R1	grid2	Tibialis Anterior	4	GR04MM1305	10	500
Ch114	EMG	mV	ElectroMyoGraphy	10240.0	E114	R1	grid2	Tibialis Anterior	4	GR04MM1305	10	500
Ch115	EMG	mV	ElectroMyoGraphy	10240.0	E115	R1	grid2	Tibialis Anterior	4	GR04MM1305	10	500
Ch116	EMG	mV	ElectroMyoGraphy	10240.0	E116	R1	grid2	Tibialis Anterior	4	GR04MM1305	10	500
Ch117	EMG	mV	ElectroMyoGraphy	10240.0	E117	R1	grid2	Tibialis Anterior	4	GR04MM1305	10	500
Ch118	EMG	mV	ElectroMyoGraphy	10240.0	E118	R1	grid2	Tibialis Anterior	4	GR04MM1305	10	500
Ch119	EMG	mV	ElectroMyoGraphy	10240.0	E119	R1	grid2	Tibialis Anterior	4	GR04MM1305	10	500
Ch120	EMG	mV	ElectroMyoGraphy	10240.0	E120	R1	grid2	Tibialis Anterior	4	GR04MM1305	10	500
Ch121	EMG	mV	ElectroMyoGraphy	10240.0	E121	R1	grid2	Tibialis Anterior	4	GR04MM1305	10	500
Ch122	EMG	mV	ElectroMyoGraphy	10240.0	E122	R1	grid2	Tibialis Anterior	4	GR04MM1305	10	500
Ch123	EMG	mV	ElectroMyoGraphy	10240.0	E123	R1	grid2	Tibialis Anterior	4	GR04MM1305	10	500
Ch124	EMG	mV	ElectroMyoGraphy	10240.0	E124	R1	grid2	Tibialis Anterior	4	GR04MM1305	10	500
Ch125	EMG	mV	ElectroMyoGraphy	10240.0	E125	R1	grid2	Tibialis Anterior	4	GR04MM1305	10	500
Ch126	EMG	mV	ElectroMyoGraphy	10240.0	E126	R1	grid2	Tibialis Anterior	4	GR04MM1305	10	500
Ch127	EMG	mV	ElectroMyoGraphy	10240.0	E127	R1	grid2	Tibialis Anterior	4	GR04MM1305	10	500
Ch128	EMG	mV	ElectroMyoGraphy	10240.0	E128	R1	grid2	Tibialis Anterior	4	GR04MM1305	10	500
Ch129	MISC	V	acquired data	10240.0	n/a	n/a	n/a	n/a	n/a	n/a	10	500
Ch130	MISC	%(MVC)	requested path	10240.0	n/a	n/a	n/a	n/a	n/a	n/a	10	500
Ch131	MISC	%(MVC)	performed path	10240.0	n/a	n/a	n/a	n/a	n/a	n/a	10	500
